"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.5","0.8","0.5","0.1","0.9","0.8","0.1","0.6","0.2","0.7"
"1","0.5","0.8","0.70000005","0.1","0.9","0.8","0.1","0.6","0.2","0.7"
"2","0.6","0.8","0.9000001","0.1","0.9","0.8","0.1","0.6","0.2","0.7"
"3","0.6","0.8","0.9000001","0.3","0.9","0.8","0.1","0.6","0.2","0.7"
"4","0.6","0.7","1.0000001","0.4","0.9","0.7","0.1","0.6","0.2","0.7"
"5","0.6","0.7","1.0000001","0.5","0.9","0.7","0.1","0.6","0.2","0.7"
"6","0.6","0.7","1.0000001","0.6","0.9","0.59999996","0.1","0.6","0.2","0.7"
"7","0.6","0.7","1.0000001","0.6","0.79999995","0.59999996","0.1","0.6","0.2","0.7"
"8","0.6","0.7","1.0000001","0.70000005","0.6999999","0.59999996","1.4901161E-9","0.6","0.2","0.7"
"9","0.6","0.7","1.0000001","0.8000001","0.5999999","0.59999996","-0.1","0.6","0.2","0.7"
"10","0.6","0.7","1.0000001","0.9000001","0.4999999","0.59999996","-0.1","0.6","0.2","0.7"
"11","0.6","0.49999997","1.0000001","0.9000001","0.4999999","0.59999996","-0.1","0.6","0.2","0.7"
"12","0.6","0.19999999","1.0000001","0.9000001","0.4999999","0.59999996","-0.1","0.6","0.2","0.7"
"13","0.6","-1.3411045E-8","1.0000001","0.9000001","0.4999999","0.59999996","-0.1","0.6","0.2","0.7"
"14","0.6","-1.3411045E-8","1.0000001","0.9000001","0.4999999","0.59999996","-0.1","0.6","0.2","0.7"
"15","0.6","-1.3411045E-8","1.0000001","0.9000001","0.4999999","0.59999996","-0.1","0.6","0.2","0.7"
"16","0.6","-1.3411045E-8","1.0000001","0.8000001","0.39999992","0.59999996","-0.1","0.6","0.2","0.7"
"17","0.6","-1.3411045E-8","1.0000001","0.8000001","0.19999993","0.59999996","-0.1","0.6","0.2","0.7"
"18","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"19","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"20","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"21","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"22","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"23","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"24","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"25","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"26","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"27","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"28","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"29","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"30","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"31","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"32","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"33","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"34","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"35","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"36","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"37","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"38","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"39","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"40","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"41","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"42","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"43","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"44","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"45","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"46","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"47","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"48","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"49","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"50","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"51","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"52","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"53","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"54","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"55","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"56","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"57","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"58","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"59","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"60","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"61","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"62","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"63","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
"64","0.6","-1.3411045E-8","1.0000001","0.8000001","0.09999993","0.59999996","-0.1","0.6","0.2","0.7"
