"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.3","0.2","0.1","0.6","0.1","0.8","0.6","0.1","0.8","0.2"
"1","0.20000002","0.2","0.1","0.6","1.4901161E-9","0.8","0.6","0.1","0.8","0.2"
"2","0.10000002","0.2","0.1","0.6","-0.1","0.8","0.6","0.1","0.8","0.2"
"3","0.10000002","0.2","1.4901161E-9","0.5","-0.1","0.8","0.6","0.1","0.8","0.2"
"4","0.10000002","0.2","1.4901161E-9","0.5","-0.1","0.8","0.6","0.1","0.8","0.2"
"5","0.10000002","0.2","1.4901161E-9","0.4","-0.1","0.8","0.6","0.1","0.8","0.2"
"6","0.10000002","0.1","1.4901161E-9","0.3","-0.1","0.8","0.6","0.1","0.8","0.2"
"7","0.10000002","0.1","1.4901161E-9","0.20000002","-0.1","0.8","0.6","0.1","0.8","0.2"
"8","0.10000002","0.1","1.4901161E-9","1.6391278E-8","-0.1","0.8","0.70000005","0.1","0.8","0.2"
"9","0.10000002","0.1","1.4901161E-9","-0.09999999","-0.1","0.8","0.8000001","0.1","0.8","0.2"
"10","0.10000002","0.1","1.4901161E-9","-0.09999999","-0.1","0.8","0.8000001","0.1","0.8","0.2"
"11","0.10000002","0.1","1.4901161E-9","-0.09999999","-0.1","0.8","0.9000001","0.1","0.8","0.2"
"12","0.10000002","0.1","-0.1","-0.09999999","-0.1","0.8","0.9000001","0.1","0.8","0.2"
"13","0.10000002","0.1","-0.1","-0.09999999","-0.1","0.8","0.9000001","0.1","0.8","0.2"
"14","0.10000002","0.1","-0.1","-0.09999999","-0.1","0.8","0.9000001","0.1","0.8","0.2"
"15","0.10000002","0.2","-0.1","-0.09999999","-0.1","0.7","1.0000001","0.1","0.8","0.2"
"16","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"17","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"18","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"19","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"20","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"21","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"22","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"23","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"24","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"25","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"26","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"27","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"28","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"29","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"30","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"31","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"32","0.10000002","0.3","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"33","0.10000002","0.20000002","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"34","0.10000002","1.6391278E-8","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"35","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"36","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"37","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"38","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"39","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"40","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"41","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"42","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"43","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"44","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"45","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"46","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"47","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"48","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"49","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"50","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"51","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"52","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"53","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"54","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"55","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"56","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"57","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"58","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"59","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"60","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"61","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"62","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"63","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"64","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"65","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"66","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"67","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"68","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"69","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"70","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"71","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"72","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"73","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"74","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"75","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"76","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"77","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"78","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"79","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"80","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"81","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"82","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"83","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"84","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"85","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"86","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"87","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"88","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"89","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"90","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"91","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"92","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"93","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"94","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"95","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"96","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"97","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"98","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"99","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"100","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"101","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"102","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"103","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"104","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"105","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"106","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"107","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"108","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"109","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"110","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"111","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"112","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"113","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"114","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"115","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"116","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"117","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"118","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"119","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
"120","0.10000002","-0.09999999","-0.1","-0.09999999","-0.1","0.59999996","1.0000001","0.1","0.8","0.2"
