"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.0","0.9","0.7","0.4","0.7","0.5","0.1","0.7","0.4","0.1"
"1","0.0","0.9","0.7","0.3","0.7","0.4","0.1","0.7","0.4","0.1"
"2","0.0","0.9","0.7","0.20000002","0.7","0.4","0.1","0.7","0.4","0.1"
"3","0.0","0.9","0.59999996","0.10000002","0.7","0.4","0.1","0.7","0.4","0.1"
"4","0.0","0.9","0.59999996","1.6391278E-8","0.7","0.5","0.1","0.7","0.4","0.1"
"5","0.0","0.9","0.59999996","-0.09999999","0.7","0.5","0.1","0.7","0.4","0.1"
"6","0.0","0.9","0.59999996","-0.09999999","0.7","0.6","0.1","0.7","0.4","0.1"
"7","0.0","0.9","0.59999996","-0.09999999","0.7","0.70000005","0.1","0.7","0.4","0.1"
"8","0.0","0.9","0.49999997","-0.09999999","0.7","0.8000001","0.1","0.7","0.4","0.1"
"9","0.0","0.9","0.39999998","-0.09999999","0.7","0.8000001","0.1","0.7","0.4","0.1"
"10","0.0","0.9","0.39999998","-0.09999999","0.7","0.8000001","0.2","0.7","0.4","0.1"
"11","0.0","0.9","0.29999998","-0.09999999","0.7","0.8000001","0.2","0.7","0.4","0.1"
"12","0.0","0.9","0.19999999","-0.09999999","0.7","0.8000001","0.2","0.7","0.4","0.1"
"13","0.0","0.9","0.09999999","-0.09999999","0.7","0.8000001","0.2","0.7","0.4","0.1"
"14","0.0","0.9","-1.3411045E-8","-0.09999999","0.7","0.6","0.2","0.59999996","0.4","0.1"
"15","0.0","0.9","-1.3411045E-8","-0.09999999","0.49999997","0.5","0.4","0.59999996","0.4","0.1"
"16","0.0","0.9","-1.3411045E-8","-0.09999999","0.29999998","0.4","0.6","0.59999996","0.4","0.1"
"17","0.0","0.9","-1.3411045E-8","-0.09999999","0.09999999","0.4","0.6","0.59999996","0.4","0.1"
"18","0.0","0.9","-1.3411045E-8","-0.09999999","0.09999999","0.4","0.6","0.59999996","0.4","0.1"
"19","0.0","0.9","-1.3411045E-8","1.3411045E-8","0.09999999","0.4","0.6","0.59999996","0.4","0.1"
"20","0.0","0.9","-1.3411045E-8","0.10000002","0.09999999","0.4","0.6","0.59999996","0.4","0.1"
"21","0.0","0.9","-1.3411045E-8","0.20000002","0.09999999","0.4","0.6","0.59999996","0.4","0.1"
"22","0.0","0.9","-1.3411045E-8","0.3","0.09999999","0.4","0.6","0.59999996","0.4","0.1"
"23","0.0","0.9","-1.3411045E-8","0.3","0.09999999","0.4","0.6","0.59999996","0.4","0.1"
"24","0.0","0.9","-1.3411045E-8","0.4","0.09999999","0.3","0.6","0.59999996","0.4","0.1"
"25","0.0","0.9","-1.3411045E-8","0.5","0.09999999","0.3","0.6","0.59999996","0.4","0.1"
"26","0.0","0.9","-1.3411045E-8","0.6","0.09999999","0.3","0.6","0.59999996","0.4","0.1"
"27","0.0","0.9","-1.3411045E-8","0.70000005","0.09999999","0.3","0.6","0.59999996","0.4","0.1"
"28","0.0","0.9","-1.3411045E-8","0.70000005","0.09999999","0.3","0.6","0.59999996","0.4","0.1"
"29","0.0","0.9","-1.3411045E-8","0.70000005","0.09999999","0.3","0.6","0.59999996","0.4","0.1"
"30","0.0","0.9","-1.3411045E-8","0.70000005","0.09999999","0.3","0.6","0.59999996","0.4","0.2"
"31","0.0","0.9","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"32","0.0","0.9","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"33","0.0","0.9","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"34","0.0","0.9","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"35","0.0","0.9","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"36","0.0","0.9","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"37","0.0","0.9","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"38","0.0","0.79999995","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"39","0.0","0.79999995","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"40","0.0","0.79999995","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"41","0.0","0.79999995","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"42","0.0","0.79999995","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"43","0.0","0.6999999","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"44","0.0","0.5999999","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"45","0.0","0.29999992","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"46","0.0","0.09999993","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.6","0.59999996","0.4","0.3"
"47","0.0","-7.301569E-8","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","0.8000001","0.59999996","0.4","0.3"
"48","0.0","-7.301569E-8","-1.3411045E-8","0.70000005","-1.3411045E-8","0.3","1.0000001","0.59999996","0.4","0.3"
