"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.0","0.6","0.9","0.1","0.7","0.0","0.8","0.4","0.5","0.7"
"1","0.0","0.6","0.9","1.4901161E-9","0.7","0.1","0.8","0.4","0.5","0.7"
"2","0.0","0.6","0.9","-0.1","0.7","0.1","0.8","0.4","0.5","0.7"
"3","0.0","0.6","0.79999995","-0.1","0.7","0.1","0.8","0.4","0.5","0.7"
"4","0.0","0.6","0.79999995","-0.1","0.7","1.4901161E-9","0.8","0.4","0.5","0.7"
"5","0.0","0.6","0.79999995","-0.1","0.7","1.4901161E-9","0.8","0.4","0.5","0.7"
"6","0.0","0.6","0.79999995","-0.1","0.7","-0.1","0.8","0.4","0.5","0.7"
"7","0.0","0.6","0.79999995","-0.1","0.7","-0.1","0.8","0.4","0.5","0.7"
"8","0.0","0.6","0.6999999","-0.1","0.7","-0.1","0.8","0.4","0.5","0.7"
"9","0.0","0.6","0.5999999","-0.1","0.7","-0.1","0.8","0.4","0.5","0.7"
"10","0.0","0.6","0.5999999","-0.1","0.7","-0.1","0.7","0.4","0.5","0.7"
"11","0.0","0.6","0.4999999","-0.1","0.7","-0.1","0.7","0.4","0.5","0.7"
"12","0.0","0.6","0.39999992","-0.1","0.7","-0.1","0.7","0.4","0.5","0.7"
"13","0.0","0.6","0.29999992","-0.1","0.7","-0.1","0.7","0.4","0.5","0.7"
"14","0.0","0.6","-7.301569E-8","-0.1","0.7","0.1","0.7","0.5","0.5","0.7"
"15","0.0","0.6","-7.301569E-8","-0.1","0.90000004","0.2","0.49999997","0.5","0.5","0.7"
"16","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"17","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"18","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"19","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"20","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"21","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"22","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"23","0.0","0.6","-7.301569E-8","-0.1","1.0","0.3","0.29999998","0.5","0.5","0.7"
"24","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.7"
"25","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.7"
"26","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.7"
"27","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.7"
"28","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.7"
"29","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.7"
"30","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.59999996"
"31","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"32","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"33","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"34","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"35","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"36","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"37","0.0","0.6","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"38","0.0","0.70000005","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"39","0.0","0.70000005","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"40","0.0","0.70000005","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"41","0.0","0.70000005","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"42","0.0","0.70000005","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"43","0.0","0.8000001","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
"44","0.0","0.9000001","-7.301569E-8","-0.1","1.0","0.20000002","0.29999998","0.5","0.5","0.49999997"
