"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.3","0.1","0.4","0.4","0.8","0.2","0.7","0.0","0.1","0.9"
"1","0.3","0.1","0.20000002","0.4","0.8","0.2","0.7","0.0","0.1","0.9"
"2","0.20000002","0.1","1.6391278E-8","0.4","0.8","0.2","0.7","0.0","0.1","0.9"
"3","0.20000002","0.1","1.6391278E-8","0.20000002","0.8","0.2","0.7","0.0","0.1","0.9"
"4","0.20000002","1.4901161E-9","-0.09999999","0.10000002","0.8","0.3","0.7","0.0","0.1","0.9"
"5","0.20000002","1.4901161E-9","-0.09999999","1.6391278E-8","0.8","0.3","0.7","0.0","0.1","0.9"
"6","0.20000002","1.4901161E-9","-0.09999999","-0.09999999","0.8","0.4","0.7","0.0","0.1","0.9"
"7","0.20000002","1.4901161E-9","-0.09999999","-0.09999999","0.7","0.4","0.7","0.0","0.1","0.9"
"8","0.20000002","1.4901161E-9","-0.09999999","-0.09999999","0.59999996","0.4","0.8","0.0","0.1","0.9"
"9","0.20000002","1.4901161E-9","-0.09999999","-0.09999999","0.49999997","0.4","0.90000004","0.0","0.1","0.9"
"10","0.20000002","1.4901161E-9","-0.09999999","-0.09999999","0.39999998","0.4","1.0","0.0","0.1","0.9"
"11","0.20000002","-0.1","-0.09999999","-0.09999999","0.39999998","0.4","1.0","0.0","0.1","0.9"
"12","0.20000002","-0.1","-0.09999999","-0.09999999","0.39999998","0.4","1.0","0.0","0.1","0.9"
"13","0.20000002","-0.1","-0.09999999","-0.09999999","0.39999998","0.4","1.0","0.0","0.1","0.9"
"14","0.20000002","-0.1","-0.09999999","-0.09999999","0.39999998","0.4","1.0","0.0","0.1","0.9"
"15","0.20000002","-0.1","-0.09999999","-0.09999999","0.39999998","0.4","1.0","0.0","0.1","0.9"
"16","0.20000002","-0.1","-0.09999999","1.3411045E-8","0.29999998","0.4","1.0","0.0","0.1","0.9"
"17","0.20000002","-0.1","-0.09999999","1.3411045E-8","0.09999999","0.4","1.0","0.0","0.1","0.9"
"18","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"19","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"20","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"21","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"22","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"23","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"24","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"25","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"26","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"27","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"28","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"29","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"30","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"31","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"32","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"33","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"34","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"35","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"36","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"37","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"38","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"39","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"40","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"41","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"42","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"43","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"44","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"45","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"46","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"47","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"48","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"49","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"50","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"51","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"52","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"53","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"54","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"55","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"56","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"57","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"58","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"59","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"60","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"61","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"62","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"63","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"64","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"65","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"66","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"67","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"68","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"69","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"70","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"71","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"72","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"73","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"74","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"75","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"76","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"77","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"78","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"79","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"80","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"81","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"82","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"83","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"84","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
"85","0.20000002","-0.1","-0.09999999","1.3411045E-8","-1.3411045E-8","0.4","1.0","0.0","0.1","0.9"
