"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.4","0.7","0.3","0.9","0.5","0.2","0.4","0.8","0.2","0.7"
"1","0.4","0.7","0.3","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"2","0.4","0.7","0.4","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"3","0.4","0.7","0.5","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"4","0.4","0.7","0.6","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"5","0.4","0.7","0.70000005","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"6","0.4","0.7","0.8000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"7","0.4","0.7","0.9000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"8","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"9","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"10","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"11","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"12","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"13","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"14","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"15","0.4","0.7","1.0000001","1.0","0.6","0.2","0.4","0.8","0.2","0.7"
"16","0.4","0.7","1.0000001","1.0","0.6","0.1","0.4","0.8","0.2","0.7"
"17","0.4","0.7","1.0000001","1.0","0.6","0.1","0.4","0.8","0.2","0.7"
"18","0.4","0.7","1.0000001","1.0","0.5","0.1","0.4","0.8","0.2","0.7"
"19","0.4","0.7","1.0000001","1.0","0.4","0.1","0.4","0.8","0.2","0.7"
"20","0.4","0.7","1.0000001","1.0","0.3","0.1","0.4","0.8","0.2","0.7"
