"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.5","0.2","0.6","0.9","0.3","0.1","0.9","0.9","0.4","0.8"
"1","0.6","0.2","0.6","0.9","0.4","0.1","0.9","0.9","0.4","0.8"
"2","0.70000005","0.2","0.6","0.9","0.5","0.1","0.9","0.9","0.4","0.8"
"3","0.70000005","0.2","0.70000005","1.0","0.5","0.1","0.9","0.9","0.4","0.8"
"4","0.70000005","0.2","0.70000005","1.0","0.5","0.1","0.9","0.9","0.4","0.8"
"5","0.70000005","0.2","0.70000005","1.0","0.5","0.1","0.9","0.9","0.4","0.8"
"6","0.70000005","0.1","0.70000005","1.0","0.5","0.1","0.9","0.9","0.4","0.8"
"7","0.70000005","0.1","0.70000005","1.0","0.4","0.1","0.9","0.9","0.4","0.8"
"8","0.70000005","0.1","0.70000005","1.0","0.3","0.1","0.79999995","0.9","0.4","0.8"
"9","0.70000005","0.1","0.70000005","1.0","0.10000002","0.1","0.6999999","0.9","0.4","0.8"
"10","0.70000005","0.1","0.70000005","1.0","1.6391278E-8","0.1","0.6999999","0.9","0.4","0.8"
"11","0.70000005","0.1","0.70000005","1.0","-0.09999999","0.1","0.5999999","0.9","0.4","0.8"
"12","0.70000005","0.1","0.8000001","1.0","-0.09999999","0.1","0.5999999","0.9","0.4","0.8"
"13","0.70000005","0.1","0.9000001","1.0","-0.09999999","0.1","0.5999999","0.9","0.4","0.8"
"14","0.70000005","0.1","0.9000001","1.0","-0.09999999","0.1","0.5999999","0.9","0.4","0.8"
"15","0.70000005","1.4901161E-9","1.0000001","1.0","-0.09999999","1.4901161E-9","0.4999999","0.9","0.4","0.8"
"16","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"17","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"18","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"19","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"20","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"21","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"22","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"23","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"24","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"25","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"26","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"27","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"28","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"29","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"30","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"31","0.70000005","-0.1","1.0000001","1.0","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"32","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"33","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"34","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"35","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"36","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"37","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"38","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"39","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"40","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"41","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"42","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"43","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"44","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"45","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"46","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"47","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"48","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"49","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"50","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"51","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"52","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"53","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"54","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"55","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"56","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"57","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"58","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"59","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"60","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"61","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"62","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"63","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"64","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"65","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"66","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"67","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"68","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"69","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"70","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"71","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"72","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"73","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"74","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"75","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"76","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"77","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"78","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"79","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"80","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"81","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"82","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"83","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.39999992","0.9","0.4","0.8"
"84","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"85","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"86","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"87","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"88","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"89","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"90","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"91","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"92","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"93","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"94","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"95","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"96","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"97","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"98","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"99","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"100","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"101","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"102","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"103","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"104","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"105","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"106","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"107","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"108","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"109","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"110","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"111","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"112","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"113","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"114","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
"115","0.70000005","-0.1","1.0000001","0.9","-0.09999999","-0.1","0.29999992","0.9","0.4","0.8"
