"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.6","0.5","0.8","0.6","0.6","0.9","0.4","0.7","0.6","0.9"
"1","0.6","0.5","0.8","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"2","0.6","0.6","0.49999997","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"3","0.6","0.70000005","0.29999998","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"4","0.6","0.70000005","0.29999998","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"5","0.6","0.70000005","0.29999998","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"6","0.6","0.70000005","0.29999998","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"7","0.6","0.70000005","0.29999998","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"8","0.6","0.70000005","0.19999999","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"9","0.6","0.70000005","0.09999999","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"10","0.6","0.70000005","0.09999999","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"11","0.6","0.70000005","0.09999999","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"12","0.6","0.70000005","0.09999999","0.6","0.5","0.9","0.4","0.7","0.6","0.9"
"13","0.6","0.70000005","-1.3411045E-8","0.5","0.6","0.9","0.4","0.7","0.6","0.9"
"14","0.6","0.70000005","-1.3411045E-8","0.4","0.6","0.9","0.4","0.7","0.6","0.9"
"15","0.6","0.6","-1.3411045E-8","0.4","0.70000005","0.9","0.3","0.7","0.6","0.9"
"16","0.6","0.5","-1.3411045E-8","0.4","0.8000001","0.9","0.20000002","0.7","0.6","0.9"
"17","0.6","0.5","-1.3411045E-8","0.4","0.8000001","0.9","0.20000002","0.7","0.6","0.9"
"18","0.6","0.5","-1.3411045E-8","0.4","0.9000001","0.9","0.20000002","0.7","0.6","0.9"
"19","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.6","0.9"
"20","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.6","0.9"
"21","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.6","0.9"
"22","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.6","0.9"
"23","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.6","0.9"
"24","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.6","0.9"
"25","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.6","0.9"
"26","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"27","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"28","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"29","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"30","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"31","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"32","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"33","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"34","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"35","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"36","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
"37","0.6","0.5","-1.3411045E-8","0.4","1.0000001","0.9","0.20000002","0.7","0.70000005","0.9"
