"Signos","P1","P2","P3"
"S1","0.9","0.7","0.4"
"S2","1.0","0.0","-0.09999999"
"S3","0.0","1.0000001","-7.301569E-8"
"S4","0.4","0.8","0.9"
"S5","0.70000005","1.6391278E-8","0.4999999"
"S6","0.5","0.8","0.6"
"S7","-0.09999999","-0.1","1.0000001"
"S8","0.3","0.0","0.7"
"S9","0.9","0.8","0.5"
"S10","0.5","0.3","0.4"
