"Signos","P1","P2","P3"
"S1","0.1","0.4","0.8"
"S2","1.0","-1.3411045E-8","-0.09999999"
"S3","-0.1","1.0000001","0.0"
"S4","0.0","0.5999999","0.39999998"
"S5","0.9000001","1.6391278E-8","-0.1"
"S6","0.3","0.2","0.4"
"S7","0.0","-0.09999999","1.0000001"
"S8","0.1","0.8","0.8"
"S9","0.8","0.2","0.2"
"S10","0.5","0.7","0.9"
