"Signos","P1","P2","P3"
"S1","0.1","0.70000005","0.0"
"S2","1.0000001","-0.1","-7.301569E-8"
"S3","-0.09999999","1.0000001","-7.301569E-8"
"S4","0.0","0.6999999","0.20000002"
"S5","1.0","0.39999998","-0.09999999"
"S6","0.5999999","0.5999999","0.5"
"S7","-1.3411045E-8","0.0","1.0"
"S8","0.5","0.4","0.3"
"S9","0.5","0.3","0.5"
"S10","0.5","0.79999995","0.6"
