"Signos","P1","P2","P3"
"S1","0.20000002","0.5","-0.1"
"S2","1.0","-0.09999999","-0.1"
"S3","-1.3411045E-8","1.0000001","-7.301569E-8"
"S4","0.0","0.8","0.4"
"S5","0.70000005","-0.09999999","0.4999999"
"S6","0.5","0.8","0.6"
"S7","-0.09999999","-0.1","1.0000001"
"S8","0.1","0.0","0.7"
"S9","0.2","0.7","0.0"
"S10","0.4","0.20000002","0.2"
