"Signos","P1","P2","P3"
"S1","0.9","0.7","0.4"
"S2","1.0","0.0","-0.09999999"
"S3","0.0","1.0000001","-0.1"
"S4","0.4","0.5","0.9"
"S5","0.5","1.6391278E-8","-0.1"
"S6","0.1","0.8","0.5"
"S7","-0.1","-0.1","1.0000001"
"S8","0.3","0.0","0.6"
"S9","0.9","0.8","0.5"
"S10","0.5","0.3","0.4"
