"Signos","P1","P2","P3"
"S1","0.3","0.0","0.6"
"S2","1.0000001","-7.301569E-8","-0.1"
"S3","-1.3411045E-8","1.0000001","-0.09999999"
"S4","0.6","0.0","0.4"
"S5","1.0000001","-0.09999999","-1.3411045E-8"
"S6","0.5","0.1","0.9"
"S7","-0.1","0.0","1.0"
"S8","0.0","0.0","0.8"
"S9","0.2","0.1","0.7"
"S10","0.1","0.6","0.4"
