"Signos","P1","P2","P3"
"S1","0.6999999","0.70000005","0.10000002"
"S2","1.0000001","-0.1","-0.09999999"
"S3","-1.3411045E-8","1.0000001","-0.1"
"S4","0.09999999","0.9","-0.09999999"
"S5","1.0000001","-0.09999999","-0.1"
"S6","0.5","-0.1","0.59999996"
"S7","-0.09999999","0.29999992","1.0000001"
"S8","0.7","0.9","0.1"
"S9","0.1","0.4","0.8"
"S10","0.5","0.8","0.2"
