"Signos","P1","P2","P3"
"S1","0.6","0.1","0.1"
"S2","1.0000001","-0.09999999","-0.09999999"
"S3","-1.3411045E-8","1.0","-0.09999999"
"S4","0.4","0.4","0.59999996"
"S5","1.0000001","-0.1","-7.301569E-8"
"S6","0.9","0.3","0.3"
"S7","-0.09999999","-0.1","1.0"
"S8","0.7","0.5","0.8"
"S9","0.70000005","0.59999996","0.7"
"S10","0.9","0.0","0.3"
