"Signos","P1","P2","P3"
"S1","0.4","0.6","0.20000002"
"S2","1.0","-1.3411045E-8","-0.1"
"S3","0.0","1.0000001","-0.09999999"
"S4","-0.1","0.8000001","1.3411045E-8"
"S5","1.0","0.09999993","-1.3411045E-8"
"S6","0.59999996","0.59999996","0.4"
"S7","-0.09999999","-0.1","1.0"
"S8","0.8","0.6","0.0"
"S9","0.1","0.2","0.1"
"S10","0.4","0.7","0.9"
